Name	z	Flux(erg/s/cm2)	Lx(erg/s)
Virgo	0.0036	1.49e-09	4.25e+043
Coma	0.0231	2.88e-10	3.46e+044
A3526	0.0114	2.4e-10	6.94e+043
A3571	0.0391	1.09e-10	3.82e+044
A1367	0.0214	1.07e-10	1.1e+044
A2199	0.0299	9.39e-11	1.9e+044
2A0335	0.0347	8.93e-11	2.45e+044
A1060	0.0126	8.79e-11	3.11e+043
A0496	0.0326	7.67e-11	1.85e+044
A0085	0.0555	7.15e-11	5.1e+044
A0262	0.0163	7.06e-11	4.19e+043
A3667	0.0556	6.8e-11	4.87e+044
A2029	0.0766	6.31e-11	8.73e+044
NGC5044	0.0087	6.26e-11	1.05e+043
A1795	0.0622	6.06e-11	5.48e+044
A3558	0.048	5.91e-11	3.14e+044
A0754	0.0542	5.64e-11	3.85e+044
A2142	0.0894	5.6e-11	1.07e+045
NGC5813	0.005	5.42e-11	3e+042
A2052	0.0353	5.08e-11	1.44e+044
A4038	0.03	5.05e-11	1.03e+044
A3266	0.0589	4.92e-11	3.98e+044
A2147	0.0353	4.79e-11	1.36e+044
NGC4636	0.0031	4.73e-11	1e+042
A0401	0.0739	4.72e-11	6.09e+044
NGC1550	0.0131	4.6e-11	1.76e+043
A2256	0.0581	4.51e-11	3.54e+044
A0780	0.0539	4.02e-11	2.72e+044
A2063	0.0355	3.97e-11	1.14e+044
A0478	0.0882	3.89e-11	7.22e+044
A1644	0.0473	3.68e-11	1.9e+044
A1736	0.0458	3.45e-11	1.67e+044
FORNAX	0.0051	3.42e-11	1.97e+042
A3158	0.059	3.4e-11	2.76e+044
MKW3s	0.0442	3.29e-11	1.48e+044
A0119	0.0442	3.19e-11	1.44e+044
A4059	0.0475	3.13e-11	1.63e+044
A3581	0.023	3.02e-11	3.61e+043
RBS0540	0.0397	2.99e-11	1.08e+044
A0399	0.0722	2.92e-11	3.59e+044
A3112	0.0752	2.86e-11	3.82e+044
A2589	0.0416	2.52e-11	1e+044
A2657	0.04	2.47e-11	9.08e+043
S1101	0.0564	2.44e-11	1.81e+044
A3562	0.049	2.42e-11	1.35e+044
A2204	0.1514	2.37e-11	1.36e+045
RXJ0123.6+3315	0.0164	2.33e-11	1.41e+043
A3395	0.0506	2.32e-11	1.38e+044
A0576	0.0381	2.28e-11	7.57e+043
A1651	0.0845	2.25e-11	3.85e+044
A2065	0.0723	2.12e-11	2.63e+044
RXCJ1504.1-0248	0.2153	2.07e-11	2.5e+045
A2597	0.0852	2.05e-11	3.56e+044
A2634	0.0309	2.04e-11	4.41e+043
A1650	0.0845	2.03e-11	3.47e+044
A3376	0.0468	1.97e-11	9.97e+043
Zw1215.1+0400	0.0766	1.97e-11	2.74e+044
A0133	0.0569	1.93e-11	1.46e+044
A3391	0.0514	1.89e-11	1.16e+044
A2255	0.0809	1.89e-11	2.95e+044
A2163	0.203	1.88e-11	2.02e+045
MKW4	0.0199	1.88e-11	1.67e+043
A2244	0.0953	1.86e-11	4.05e+044
UGC03957	0.034	1.85e-11	4.88e+043
A3532	0.0554	1.85e-11	1.32e+044
A3827	0.098	1.82e-11	4.2e+044
RXJ0341.3+1524	0.0311	1.78e-11	3.92e+043
RXCJ1539.5-8335	0.0728	1.78e-11	2.24e+044
A0400	0.0238	1.73e-11	2.21e+043
Zw1742.1+3306	0.0757	1.7e-11	2.31e+044
A2151a	0.037	1.63e-11	5.09e+043
A2107	0.0411	1.61e-11	6.25e+043
A3528S	0.0544	1.58e-11	1.09e+044
A3695	0.0894	1.54e-11	2.96e+044
S0540	0.0358	1.53e-11	4.47e+043
A2420	0.0846	1.5e-11	2.67e+044
A3822	0.076	1.49e-11	2.1e+044
A0193	0.0491	1.48e-11	8.28e+043
NGC6338	0.0276	1.47e-11	2.54e+043
A1689	0.1832	1.45e-11	1.25e+045
A3558(B)	0.0488	1.44e-11	7.96e+043
RXCJ2014.8-2430	0.1612	1.44e-11	9.46e+044
A2877	0.0238	1.42e-11	1.81e+043
RXCJ1558.3-1410	0.097	1.4e-11	3.18e+044
A2415	0.0582	1.4e-11	1.11e+044
A3560	0.0487	1.4e-11	7.67e+043
RXCJ1252.5-3116	0.0535	1.4e-11	9.31e+043
NGC5846	0.006	1.39e-11	1.11e+042
A2593	0.0428	1.37e-11	5.8e+043
RXCJ1840.6-7709	0.0194	1.36e-11	1.16e+043
S0405	0.0613	1.36e-11	1.2e+044
A0548e	0.042	1.36e-11	5.52e+043
USGCS152	0.0155	1.36e-11	7.33e+042
A2069	0.1145	1.33e-11	4.26e+044
A3921	0.094	1.32e-11	2.83e+044
A2665	0.0562	1.32e-11	9.74e+043
A2061	0.0777	1.31e-11	1.88e+044
IC1365	0.0494	1.3e-11	7.38e+043
A0376	0.0488	1.29e-11	7.14e+043
A2572a	0.0422	1.27e-11	5.21e+043
RXCJ2344.2-0422	0.0786	1.26e-11	1.85e+044
RXJ0123.2+3327	0.0146	1.25e-11	5.96e+042
RXCJ0413.9-3805	0.0501	1.25e-11	7.26e+043
MKW8	0.0263	1.23e-11	1.93e+043
A1914	0.1712	1.23e-11	9.18e+044
A1750	0.0852	1.22e-11	2.13e+044
CAN010	0.0519	1.22e-11	7.63e+043
A1307	0.0834	1.21e-11	2.07e+044
A3128	0.0624	1.2e-11	1.1e+044
A2734	0.062	1.2e-11	1.09e+044
A2426	0.098	1.2e-11	2.77e+044
A1775	0.0724	1.19e-11	1.49e+044
A1413	0.1427	1.19e-11	6.04e+044
A1767	0.0701	1.18e-11	1.37e+044
AWM4	0.0326	1.18e-11	2.85e+043
IC1262	0.0307	1.17e-11	2.5e+043
S0861	0.0505	1.17e-11	6.91e+043
A2626	0.0565	1.16e-11	8.69e+043
A2249	0.0802	1.16e-11	1.78e+044
A1831	0.0612	1.15e-11	1.02e+044
A1835	0.2528	1.15e-11	1.97e+045
A3911	0.0965	1.14e-11	2.57e+044
A3341	0.038	1.13e-11	3.73e+043
A0970	0.0586	1.12e-11	9.05e+043
A2034	0.113	1.12e-11	3.51e+044
RXCJ1253.6-3931	0.1794	1.12e-11	9.22e+044
ZwCl235	0.083	1.11e-11	1.84e+044
A3888	0.151	1.11e-11	6.38e+044
A2495	0.0768	1.11e-11	1.56e+044
RXCJ1524.2-3154	0.1028	1.1e-11	2.82e+044
A4010	0.0957	1.1e-11	2.42e+044
A3880	0.0579	1.09e-11	8.58e+043
A3392	0.0554	1.07e-11	7.69e+043
RXCJ1958.2-3011	0.1171	1.07e-11	3.6e+044
IVZw038	0.017	1.07e-11	6.95e+042
A2457	0.0594	1.07e-11	8.83e+043
A2837	0.1141	1.06e-11	3.39e+044
A0665	0.1818	1.06e-11	9e+044
APMCC699	0.0824	1.03e-11	1.68e+044
RXJ1720.1+2638	0.1644	1.03e-11	7.07e+044
A2390	0.2329	1.03e-11	1.48e+045
RXJ1205.1+3920	0.0381	1.01e-11	3.4e+043
PegasusII	0.0424	1.02e-11	4.22e+043
A2219	0.228	1.02e-11	1.41e+045
A0168	0.045	1e-11	4.68e+043
A3530	0.0541	9.96e-12	6.81e+043
ZwCl1665	0.0293	9.85e-12	1.92e+043
A0550	0.0989	9.81e-12	2.32e+044
A2572b	0.0389	9.74e-12	3.38e+043
A3404	0.1644	9.73e-12	6.71e+044
